year_month,sessions,conversions,bounce_rate,conv_rate
2022-06,1123,39,39.35886019590383,3.4728406055209264
2022-07,1166,35,36.87821612349914,3.0017152658662094
2022-08,1352,38,38.68343195266272,2.8106508875739644
2022-09,1281,44,41.139734582357534,3.434816549570648
2022-10,1325,53,38.56603773584906,4.0
2022-11,1428,33,38.93557422969188,2.3109243697478994
2022-12,1354,47,38.77400295420975,3.471196454948301
2023-01,1401,39,41.68451106352605,2.7837259100642395
2023-02,1306,35,41.424196018376726,2.679938744257274
2023-03,1575,58,41.460317460317455,3.6825396825396823
2023-04,1414,38,41.584158415841586,2.6874115983026874
2023-05,1622,56,39.70406905055487,3.45252774352651
2023-06,1643,59,39.86609860012173,3.5909920876445525
2023-07,1643,53,40.10955569080949,3.225806451612903
2023-08,1709,46,41.193680514921006,2.6916325336454068
2023-09,1708,65,38.2903981264637,3.8056206088992974
2023-10,1803,51,41.15363283416528,2.828618968386023
2023-11,1776,60,41.44144144144144,3.3783783783783785
2023-12,1799,66,38.7437465258477,3.6687048360200114
2024-01,1978,61,39.585439838220424,3.083923154701719
2024-02,1829,55,40.5686167304538,3.0071077091306724
2024-03,1896,60,38.97679324894515,3.1645569620253164
2024-04,1996,71,37.77555110220441,3.5571142284569137
2024-05,2054,58,38.364167478091524,2.8237585199610513
