session_id,date,month,month_num,year,year_month,day_of_week,traffic_source,landing_page,device,location,pages_viewed,session_duration_s,bounced,converted,new_user
SES-0000001,2022-06-01,June,6,2022,2022-06,Wednesday,Paid Search,/services,Desktop,Austin,2,183.0,False,False,True
SES-0000002,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/book-appointment,Desktop,Dallas,1,39.0,True,False,True
SES-0000003,2022-06-01,June,6,2022,2022-06,Wednesday,Paid Search,/services,Mobile,Los Angeles,1,21.0,True,False,True
SES-0000004,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Desktop,San Diego,1,40.0,True,False,False
SES-0000005,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/about,Desktop,Los Angeles,7,371.0,False,False,True
SES-0000006,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/home,Mobile,San Diego,2,174.0,False,False,False
SES-0000007,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/about,Mobile,San Diego,5,375.0,False,False,True
SES-0000008,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/services,Desktop,Dallas,2,458.0,False,True,False
SES-0000009,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/book-appointment,Desktop,Austin,1,28.0,True,False,False
SES-0000010,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/services,Mobile,Los Angeles,1,20.0,True,False,True
SES-0000011,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/services,Mobile,New York,2,86.0,False,False,False
SES-0000012,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/book-appointment,Mobile,Houston,5,103.0,False,False,True
SES-0000013,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/home,Desktop,Houston,1,44.0,True,False,False
SES-0000014,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/team,Mobile,Los Angeles,5,266.0,False,False,True
SES-0000015,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/about,Desktop,New York,2,309.0,False,True,False
SES-0000016,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/book-appointment,Desktop,San Antonio,1,13.0,True,False,True
SES-0000017,2022-06-01,June,6,2022,2022-06,Wednesday,Email Campaign,/services,Mobile,San Antonio,7,404.0,False,False,False
SES-0000018,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/contact,Desktop,Philadelphia,4,444.0,False,False,False
SES-0000019,2022-06-01,June,6,2022,2022-06,Wednesday,Referral,/services,Mobile,Phoenix,6,225.0,False,False,True
SES-0000020,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/about,Mobile,Los Angeles,1,13.0,True,False,True
SES-0000021,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/blog,Desktop,Austin,6,322.0,False,False,True
SES-0000022,2022-06-01,June,6,2022,2022-06,Wednesday,Organic Search,/book-appointment,Mobile,Philadelphia,8,114.0,False,False,True
SES-0000023,2022-06-01,June,6,2022,2022-06,Wednesday,Direct,/book-appointment,Tablet,Los Angeles,1,35.0,True,False,True
SES-0000024,2022-06-01,June,6,2022,2022-06,Wednesday,Social Media,/book-appointment,Desktop,Dallas,1,40.0,True,False,True
